,Age,Female,Male,County
7,70 - 80,10403,8425,Kisii
8,80+,7225,4562,Kisii
0,0 - 10,147877,147594,Kisumu
1,10 - 20,120100,118303,Kisumu
2,20 - 30,98263,88245,Kisumu
3,30 - 40,48126,51663,Kisumu
4,40 - 50,32192,28506,Kisumu
5,50 - 60,21679,19969,Kisumu
6,60 - 70,12999,11217,Kisumu
7,70 - 80,8113,6169,Kisumu
8,80+,4615,2821,Kisumu
0,0 - 10,160291,163907,Kitui
1,Oct-20,131897,137172,Kitui
2,20 - 30,76652,56354,Kitui
3,30 - 40,58256,42463,Kitui
4,40 - 50,37068,28147,Kitui
5,50 - 60,25826,20909,Kitui
6,60 - 70,18982,14728,Kitui
7,70 - 80,11397,9634,Kitui
8,80+,10829,7724,Kitui
0,0 - 10,109299,110280,Kwale
1,10 - 20,77803,78740,Kwale
2,20 - 30,58109,43194,Kwale
3,30 - 40,36898,33072,Kwale
4,40 - 50,20100,20612,Kwale
5,50 - 60,15025,14269,Kwale
6,60 - 70,8791,8561,Kwale
7,70 - 80,4587,4676,Kwale
8,80+,3142,2430,Kwale
0,0 - 10,57165,58667,Laikipia
1,10 - 20,45017,47182,Laikipia
2,20 - 30,35400,31859,Laikipia
3,30 - 40,24781,24171,Laikipia
4,40 - 50,16573,16334,Laikipia
5,50 - 60,9476,9115,Laikipia
6,60 - 70,6358,6182,Laikipia
7,70 - 80,3111,3071,Laikipia
8,80+,2607,1923,Laikipia
0,0 - 10,14865,15413,Lamu
1,Oct-20,10999,11870,Lamu
2,20 - 30,8482,9175,Lamu
3,30 - 40,5704,6783,Lamu
4,40 - 50,3562,4253,Lamu
5,50 - 60,2311,2635,Lamu
6,60 - 70,1358,1634,Lamu
7,70 - 80,673,761,Lamu
8,80+,527,478,Lamu
0,0 - 10,143706,147455,Machakos
1,10 - 20,125232,134627,Machakos
2,20 - 30,96917,91030,Machakos
3,30 - 40,68993,65086,Machakos
4,40 - 50,45526,41467,Machakos
5,50 - 60,32385,29743,Machakos
6,60 - 70,19019,16437,Machakos
7,70 - 80,11724,9563,Machakos
8,80+,11586,7320,Machakos
0,0 - 10,127868,131722,Makueni
1,Oct-20,112616,120866,Makueni
2,20 - 30,65800,58168,Makueni
3,30 - 40,51426,42424,Makueni
4,40 - 50,34312,27941,Makueni
5,50 - 60,26056,21875,Makueni
6,60 - 70,16065,13421,Makueni
7,70 - 80,9596,7759,Makueni
8,80+,9952,6391,Makueni
0,0 - 10,164290,179100,Mandera
1,10 - 20,141504,202143,Mandera
2,20 - 30,55077,63149,Mandera
3,30 - 40,53241,37665,Mandera
4,40 - 50,29951,36232,Mandera
5,50 - 60,11080,20849,Mandera
6,60 - 70,4994,11769,Mandera
7,70 - 80,3183,5791,Mandera
8,80+,2385,3143,Mandera
0,0 - 10,45168,47292,Marsabit
1,10 - 20,37186,42129,Marsabit
2,20 - 30,21323,22944,Marsabit
3,30 - 40,13530,13738,Marsabit
4,40 - 50,8854,9385,Marsabit
5,50 - 60,5702,6546,Marsabit
6,60 - 70,3648,4200,Marsabit
7,70 - 80,2608,2886,Marsabit
8,80+,1998,1938,Marsabit
0,0 - 10,214567,217720,Meru
1,Oct-20,177771,176491,Meru
2,20 - 30,150250,134843,Meru
